headline,short_description,authors,date
When Doing Well While Doing Good Could Be Bad For You,"Inclusive business, or business that pursues opportunities in traditionally unattractive market segments, ought to be a strategic imperative for corporations and investors.","Bhaskar Chakravorti, ContributorSenior Assoc. Dean of International Business & Finance, Th...",2015-04-13
Adrien Barthel: You'll Have More Fun and Grow Faster With Startups,"""Don't only look at big companies. They might have big numbers, but you'll have more fun, will learn more and grow faster in startups.""","Jonha Revesencio, ContributorMarketing for tech companies. Vidpeo co-founder",2015-04-12
"Women in Business Q&A: Beatrice Witzgall, CEO and Founder, LumiFi","Beatrice Witzgall, CEO and founder of LumiFi, is an accomplished, award-winning lighting designer with more than 20 years of global experience. She has worked on countless lighting design projects alongside renowned architects including Frank Gehry and Steven Holl.","Laura Dunn, ContributorSocial Media and Communications Professional, Founder and Edit...",2015-04-11
Sankalp Q&A: Unitus Seeks to Launch Seed Funds Around the World,"Most of the thousands of investors and entrepreneurs descending on New Delhi this week for the Sankalp Global Summit are looking to beat out their competitors. Dave Richards and Will Poole, managing directors of Unitus Seed Fund, are looking to create more competition for themselves, by seeding additional funds like their own.","David Bank, ContributorEditor, ImpactAlpha.com",2015-04-10
What I Learned About Business From Making Art,My commitment to making art is helping me broaden my perspective and view problems through a different lens -- and with a much wider aperture.,"Shelley Bird, ContributorCo-chair, X Squared Angels; Founder, The Bindu Project; Foundi...",2015-04-09
The Magic of Today's New Unicorn Leader,"Human beings are social animals. Like packs of wolves, prides of lions, pods of dolphins, herds of elephants, troops of baboons, and flocks of birds, we humans are designed to live and work together in groups.","BJ Gallagher, ContributorBest-selling author, speaker, and human relations expert.",2015-04-09
"The Future Of Driving, In One Provocative Chart",Elon Musk would probably agree.,Alexander C. Kaufman,2015-04-08
The Least Healthy Countries In The World,,,2015-04-07
"Women in Business Q&A: Bobbi Brown, Editor-in-Chief, Yahoo Beauty and Founder and CCO of Bobbi Brown Cosmetics",,"Laura Dunn, ContributorSocial Media and Communications Professional, Founder and Edit...",2015-04-07
"Women in Business Q&A: Michele Promaulayko, Editor-in-Chief of Yahoo Health",,"Laura Dunn, ContributorSocial Media and Communications Professional, Founder and Edit...",2015-04-07
Human Potential Matters,"As a country, and a world, we must understand that our destinies are linked. As business owners and integral employees within organizations, we can make a difference. We can offer our unique ideas and contributions that might help close the growing gap between the rich and the poor. We can examine ourselves for prejudices founded on fashionable beliefs rather than solid values.","Stedman Graham, ContributorAuthor, Speaker, Entrepreneur",2015-04-06
The Real 'Iran Prize': The Next Great Emerging Market,"The expected removal of Western sanctions, particularly the targeted measures against Iran's oil and financial sector, could pave the way for a huge and much-needed inflow of foreign investors and recovery of Iran's oil sector and heavily-battered currency.","Richard Javad Heydarian, ContributorAcademic, policy adviser, and author of ""Asia's New Battlefiel...",2015-04-06
Music's Marginal Reinvention: There's More Than Just Streaming,"It's not clear where all this plays out, but meeting many across the music industry this past year, I saw a clear picture of an industry trying to reinvent itself.  And while labels still have an important role, the new equilibrium brings a healthy competitive balance to the market.","Seth Schachner, ContributorDigital business executive; Managing Director, Strat Americas",2015-04-06
The Importance of Celebrating the Little Wins,"Real estate is not for the faint-hearted. I wake up in the morning to a host of worries: will I get the listing, will a deal drop out of escrow, will my client be happy? The business that I do requires not just a great deal of business acumen but also a high degree of emotional intelligence.","Nick Segal, ContributorPresident, Partners Trust Real Estate",2015-04-06
5 Tips for Consumers With Bad Credit,"Many things today rely on credit scores -- anything from getting approved for a credit card to landing an apartment. With enough patience and financial prudence, you can turn yourself into a lean-mean-credit-mastering machine.","Robert Harrow, ContributorAnalyst at ValuePenguin.com",2015-04-05
Holawhat? Meet The Alt-Management System Invented By A Programmer And Used By Zappos,,,2015-04-05
Nonprofit and Business Directors Must Be Vigilant -- Board Liability Costs Could Be $2.2 Million!,"Based on the outcome of the Lemington Homes case precedent cited above, not being rigorous about their due care evaluation responsibilities can be very costly to nonprofit and possibly for-profit directors.","Eugene Fram, ContributorProfessor Emeritus, Saunders College of Business, Rochester In...",2015-04-05
"Women in Business Q&A: Darline Jean, COO, PulsePoint","My parents always stressed education and hard work. I grew up the third of four children. My older brother was only two years older and growing up as the middle kids, we were always very competitive with each other.","Laura Dunn, ContributorSocial Media and Communications Professional, Founder and Edit...",2015-04-04
Three Hidden Costs of Bad Marketing,"There are dozens of other bad marketing models, but the crown jewel goes to ""Deceptive Marketing"" where you conveniently hold back truth to make the recipient believe that you are trying to help them.","Rajesh Setty, ContributorSerial entrepreneur",2015-04-04
Americans Work Too Hard,,,2015-04-04
"The Truth About Life In 2015 At Stanford, Where 21-Year-Olds Are Offered Hundreds Of Thousands Of Dollars Right Out Of School",,,2015-04-04
"Women Should Be Able To Wear The Same Thing Everyday, Too",,"Emily Peck, ContributorExecutive Editor, Business and Technology",2015-04-03
The Downing of Germanwings: Lufthansa's Responsibility,"Lufthansa may yet, as it has signaled, release all the relevant documents, admit it's own responsibility, and pay generous compensation to the families of the victims. But if history is any guide this will not happen without a fight for full disclosure of the facts surrounding this horrific event.","Allan Gerson, Contributor",2015-04-03
#ExceptionalCareers Series: Enron and the Company Culture Factor in our Career Choices,"This April, a company of twelve Duke undergraduate actors will act out Lucy Prebble's award-winning play, ENRON on campus. Through their involvement, the students have gained valuable insights into the decisions they will make in their own careers, and how they will judge the values of companies and corporate leaders.","Sanyin Siang, ContributorExecutive Director, Coach K Leadership & Ethics Center (COLE) ...",2015-04-02
